,city,latitude,longitude,temperature,max temperature,wind speed,cloudiness,humidity
0,Ketchikan,55.3422,-131.6461,50.47,50.47,19.57,90,87
1,Cape Town,-33.9258,18.4232,59.31,61.27,3,75,82
3,Makkah al Mukarramah,21.4267,39.8261,85.06,85.06,4.54,6,46
4,Port Alfred,-33.5906,26.891,61.41,61.41,2.39,29,85
5,Souillac,-20.5167,57.5167,73.78,75.36,3.44,75,88
6,Hithadhoo,-0.6,73.0833,81.37,81.37,8.25,28,75
7,Busselton,-33.65,115.3333,44.04,47.08,7.47,4,78
8,Sambava,-14.2667,50.1667,74.43,74.43,3.53,25,92
10,Yarmouth,41.7057,-70.2286,68.95,72.64,11.01,75,70
11,Hobart,-42.8794,147.3294,52.52,55.11,14.97,75,92
12,New Norfolk,-42.7826,147.0587,52.36,54.75,1.28,100,85
13,Filingué,14.3521,3.3168,97.14,97.14,6.71,72,21
14,Örnsköldsvik,63.2909,18.7153,32.95,33.62,12.66,90,100
15,Hasaki,35.7333,140.8333,48.04,48.6,19.55,34,63
16,Punta Arenas,-53.15,-70.9167,48.22,48.31,35.68,75,57
17,Mataura,-46.1927,168.8643,48.56,48.56,1.43,100,83
18,Yellowknife,62.456,-114.3525,43.54,44.42,7,40,65
19,Saskylakh,71.9167,114.0833,-2.65,-2.65,2.84,94,100
20,Lüderitz,-26.6481,15.1594,57.04,57.04,7.43,0,89
23,Barrow,71.2906,-156.7887,28.42,28.42,0,90,86
24,Kaitangata,-46.2817,169.8464,51.4,51.4,1.63,100,81
25,Jamestown,42.097,-79.2353,47.48,51.12,4,90,73
26,Flinders,-34.5833,150.8552,57.6,59.81,1.01,4,89
27,Fort Nelson,58.8053,-122.7002,38.79,38.79,2.3,75,81
29,Adrar,20.5022,-10.0711,78.1,78.1,8.99,1,21
30,Ushuaia,-54.8,-68.3,49.66,49.66,21.85,75,43
31,Bengkulu,-3.8004,102.2655,75.43,75.43,3.04,100,89
32,Vostok,46.4856,135.8833,24.39,24.39,4.25,45,88
33,Hermanus,-34.4187,19.2345,63.81,63.81,25.95,100,79
34,Kendari,-3.945,122.4989,75.76,75.76,3.44,100,92
35,Rikitea,-23.1203,-134.9692,74.14,74.14,22.26,100,83
36,Nikolskoye,59.7035,30.7861,45.34,46.87,16.58,100,67
37,Carnarvon,-24.8667,113.6333,68.07,68.07,14.97,0,68
38,Bahía de Caráquez,-0.6,-80.4167,78.98,78.98,11.18,81,77
39,Cape Canaveral,28.4058,-80.6048,83.77,89.22,9.22,1,68
40,Gillette,44.2911,-105.5022,61.03,63.25,8.99,1,44
41,Cherskiy,68.75,161.3,-2.06,-2.06,2.59,100,100
42,Puerto Ayora,-0.7393,-90.3518,78.76,78.76,10.2,78,81
43,Mar del Plata,-38.0023,-57.5575,56.73,58.08,1.01,90,86
44,Khovd,48.0056,91.6419,34.81,34.81,0.63,57,45
46,Mehamn,71.0357,27.8492,31.91,31.91,14.29,100,65
47,Thompson,55.7435,-97.8558,33.96,33.96,3.44,90,80
48,Saint-Philippe,-21.3585,55.7679,73.35,74.79,7.09,18,81
49,Raahe,64.6833,24.4833,32.09,32.2,27.38,100,77
51,Qaanaaq,77.484,-69.3632,-1.84,-1.84,8.79,0,67
52,Esperance,-33.8667,121.9,46.24,46.24,6.8,0,80
53,Belmonte,-15.8631,-38.8828,78.8,78.8,11.39,97,82
54,Cayenne,4.9333,-52.3333,84.09,86.04,3,40,81
55,Bad Liebenzell,48.7667,8.7333,45.18,48.87,9.71,100,65
56,Bredasdorp,-34.5322,20.0403,61.92,63.28,11.5,100,55
58,Lata,40.1629,-8.3327,56.32,59.05,2.01,0,82
59,Ilulissat,69.2167,-51.1,15.82,15.82,5.75,20,73
60,Vaini,-21.2,-175.2,73.56,73.56,8.05,20,78
61,Suba,10.8438,121.0102,83.55,83.55,21.63,92,74
62,Manta,-0.95,-80.7333,78.58,78.58,9.22,75,78
64,Severo-Kuril'sk,50.6789,156.125,37,37,9.78,98,79
65,Spirovo,57.419,34.9766,42.66,42.66,14.76,63,66
67,Manyana,-23.4,21.7167,66.43,66.43,7.05,3,16
68,Atuona,-9.8,-139.0333,77.59,77.59,19.6,22,79
69,Lorengau,-2.0226,147.2712,81.19,81.19,8.21,99,76
70,Hobyo,5.3505,48.5268,79.34,79.34,14.18,12,83
71,Bluff,-46.6,168.3333,51.31,51.31,2.98,100,73
72,Auki,-8.7676,160.7034,78.73,78.73,4.25,10,82
73,San Ramon,37.7799,-121.978,60.67,65.12,4,75,79
74,Kapaa,22.0752,-159.319,78.62,80.58,3,20,80
75,Brae,60.3964,-1.353,42.71,42.71,8.79,57,63
76,Sørland,67.667,12.6934,35.67,35.67,10.22,100,49
77,Noshiro,40.2039,140.0242,48.25,48.25,13.42,91,72
78,Ponta Delgada,37.7333,-25.6667,70.52,70.52,8.05,40,68
79,Stann Creek Town,16.9692,-88.2321,84.97,84.97,5.55,100,74
80,Limaong,7.3606,122.3664,78.6,78.6,6.38,100,85
81,Huejuquilla el Alto,22.6,-103.8667,78.53,78.53,2.53,3,33
82,Kalemie,-5.9475,29.1947,71.89,71.89,7.2,75,83
83,Hilo,19.7297,-155.09,78.89,82.27,0,1,63
84,Port-Gentil,-0.7193,8.7815,78.76,78.76,10.36,90,89
85,Coquimbo,-29.9533,-71.3436,64.13,64.13,13.8,20,63
86,Meulaboh,4.1363,96.1285,76.66,76.66,2.46,98,88
87,Kyabé,9.4515,18.9449,77,77,3.47,36,77
88,Hof,50.3167,11.9167,43.3,45.45,17,100,78
89,São Filipe,14.8961,-24.4956,82.2,82.2,8.05,0,61
90,Uíge,-7.6087,15.0613,68.92,68.92,0.29,100,93
91,San Cristobal,7.7669,-72.225,82.58,82.58,4.85,10,51
92,Okhotsk,59.3833,143.3,19.89,19.89,14.74,100,88
93,Monrovia,6.3005,-10.7969,78.57,78.57,8.79,100,86
95,Jerome,42.7241,-114.5186,71.67,72.43,14.97,1,27
96,Castro,-24.7911,-50.0119,71.92,71.92,2.62,1,55
97,Talnakh,69.4865,88.3972,18.37,18.37,4.18,100,94
98,Ulaangom,49.9811,92.0667,32.07,32.07,1.43,81,73
100,Caravelas,-17.7125,-39.2481,74.71,74.71,8.43,99,81
102,Port Elizabeth,-33.918,25.5701,59.29,60.1,3.44,40,77
103,Aklavik,68.2191,-135.0107,36.43,38.12,16.02,100,86
104,Peniche,39.3558,-9.3811,59.81,63.88,16.8,0,80
