,city,latitude,longitude,temperature,max temperature,wind speed,cloudiness,humidity
1,Grindavik,63.8424,-22.4338,43.27,43.27,25.32,90,93
2,Korhogo,9.45,-5.6333,82.02,82.02,4.23,68,62
3,Honiara,-9.4333,159.95,76.44,76.44,5.68,49,87
4,De Aar,-30.6497,24.0123,62.38,62.38,12.84,30,35
5,Río Gallegos,-51.6226,-69.2181,55.45,55.45,21.85,40,22
6,Moose Factory,51.2585,-80.6094,37.38,37.38,12.66,90,93
7,Namatanai,-3.6667,152.4333,77.74,77.74,5.1,99,80
9,Mataura,-46.1927,168.8643,44.1,44.1,2.3,99,94
10,Hermanus,-34.4187,19.2345,62.8,62.8,22.21,98,78
11,Saint-Pierre,-21.3393,55.4781,75.13,76.68,4.61,40,81
12,Vila Velha,-20.3297,-40.2925,73.35,73.35,9.22,75,73
13,Praia,14.9215,-23.5087,88.34,88.34,17.27,0,51
14,Poum,-20.2333,164.0167,73.76,73.76,10.29,3,79
16,Nikolskoye,59.7035,30.7861,46.58,47.88,18.45,100,64
18,Leningradskiy,69.3833,178.4167,3.42,3.42,7.74,93,87
19,Puerto Ayora,-0.7393,-90.3518,78.76,78.76,9.57,86,78
20,Qaanaaq,77.484,-69.3632,-1.52,-1.52,8.5,0,67
22,Lagoa,39.05,-27.9833,68.36,68.36,14.36,88,77
23,Naples,40.8333,14.25,65.46,70.59,4.61,40,85
24,Altayskoye,51.9533,85.3325,38.93,38.93,3.6,100,62
25,Vanimo,-2.6741,141.3028,75.92,75.92,3.76,100,87
26,Goderich,43.7501,-81.7165,45.03,46.9,8.05,100,70
27,Krasnovishersk,60.4078,57.082,44.71,44.71,10.02,100,97
29,Arraial do Cabo,-22.9661,-42.0278,75.06,78.76,12.66,0,60
30,Albany,42.6001,-73.9662,58.19,62.1,1.01,99,62
31,Kapaa,22.0752,-159.319,73.87,75.52,11.5,40,96
32,Ol'ga,43.7444,135.2892,30.97,30.97,5.99,4,84
34,Rikitea,-23.1203,-134.9692,74.17,74.17,23.6,100,82
35,Cape Town,-33.9258,18.4232,60.03,61.11,5.01,75,79
36,Bluff,-46.6,168.3333,47.79,47.79,3.56,97,82
37,Souillac,-20.5167,57.5167,75.58,76.35,8.05,75,78
38,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,93.02,93.02,9.71,74,24
39,Iqaluit,63.7506,-68.5145,25.7,26.33,18.01,75,86
40,Tura,25.5198,90.2201,65.84,65.84,3.96,1,76
41,Sergeevka,53.88,67.4158,41.63,41.63,19.22,100,90
42,Ushuaia,-54.8,-68.3,49.66,49.66,20.71,75,50
43,Bredasdorp,-34.5322,20.0403,65.52,65.52,13.8,100,45
44,Qandala,11.472,49.8728,80.67,80.67,4.16,28,57
45,Opuwo,-18.0607,13.84,72.81,72.81,14.83,12,22
46,Upernavik,72.7868,-56.1549,17.69,17.69,11.88,100,91
47,Shubarkuduk,49.1447,56.4872,50.05,50.05,17.92,98,61
48,Santa Marta,11.2408,-74.199,82.35,82.35,3.56,15,75
49,Pandan,14.0453,124.1694,79.54,79.54,7.25,93,87
50,Zdzieszowice,50.4248,18.1235,48.02,49.32,19.71,30,47
51,Mahébourg,-20.4081,57.7,75.49,76.24,8.05,75,78
52,Cherskiy,68.75,161.3,-9.36,-9.36,2.73,100,100
53,Ust'-Koksa,50.2696,85.6108,33.39,33.39,5.26,100,80
54,Severo-Kuril'sk,50.6789,156.125,37.49,37.49,9.84,61,75
55,New Norfolk,-42.7826,147.0587,53.46,54.66,0.96,100,83
56,Geraldton,-28.7667,114.6,55.81,55.81,9.22,0,88
57,Okha,53.5739,142.9478,34.23,34.23,15.48,100,82
58,Broken Hill,-31.95,141.4333,64.11,64.11,17.27,3,52
59,Plainview,40.7765,-73.4673,68.76,71.69,1.99,40,58
60,Punta Arenas,-53.15,-70.9167,50.11,50.11,47.18,75,53
61,Chui,-33.6971,-53.4616,70.05,70.05,8.77,6,48
62,Touros,-5.1989,-35.4608,88.7,88.7,13.49,62,64
63,Hilo,19.7297,-155.09,74.48,78.28,2.06,23,81
64,East London,-33.0153,27.9116,63.54,63.54,9.22,0,72
65,Belyy Yar,53.6039,91.3903,44.49,44.49,6.71,40,70
66,Zhigansk,66.7697,123.3711,11.71,11.71,4.54,100,98
67,Pangnirtung,66.1451,-65.7125,26.6,26.6,8.05,40,93
68,Vaini,-21.2,-175.2,69.96,69.96,11.5,40,88
69,Kalmunai,7.4167,81.8167,79.63,79.63,6.69,16,83
70,Aranos,-24.1333,19.1167,75.67,75.67,5.14,1,11
71,Butaritari,3.0707,172.7902,82.09,82.09,17.25,38,78
72,São Filipe,14.8961,-24.4956,83.5,83.5,8.14,1,60
73,Laguna,38.421,-121.4238,58.71,62.47,5.01,90,93
74,Kapit,2.0167,112.9333,72.66,72.66,0.89,100,100
75,Samokov,42.3333,23.55,48.49,52.3,3.89,81,72
76,Beringovskiy,63.05,179.3167,17.87,17.87,15.1,100,88
77,Guerrero Negro,27.9769,-114.0611,74.14,74.14,12.39,36,61
78,Belmonte,-15.8631,-38.8828,80.6,80.6,10.25,99,80
79,Padang,-0.9492,100.3543,77.59,77.59,3.85,100,88
80,Hobart,-42.8794,147.3294,53.91,55.02,1.01,90,93
81,Port Alfred,-33.5906,26.891,61.74,61.74,0.96,41,86
82,Ponta do Sol,32.6667,-17.1,72.82,73.13,6.02,82,58
83,Saint-Philippe,-21.3585,55.7679,74.52,76.59,6.2,70,82
84,Camalú,30.85,-116.0667,76.42,76.42,11.41,0,63
85,Busselton,-33.65,115.3333,45.05,49.08,8.28,7,75
88,Coquimbo,-29.9533,-71.3436,62.33,62.33,17.27,20,67
89,Carman,49.4992,-98.0016,37.47,40.71,4.61,89,81
90,‘Ewa Beach,21.3156,-158.0072,75.79,78.69,5.99,1,74
91,Taltal,-25.4,-70.4833,61.97,61.97,7.99,12,68
92,Doka,13.5167,35.7667,82.18,82.18,4.76,97,39
93,Viedma,-40.8135,-62.9967,65.95,65.95,12.62,26,24
94,Vostok,46.4856,135.8833,23.67,23.67,3.83,31,88
95,Palmer,42.1584,-72.3287,66.79,71.47,5.01,75,53
96,Jamestown,42.097,-79.2353,46.98,49.32,7,90,77
97,Sitka,57.0531,-135.33,51.69,51.69,20.71,90,66
99,Waingapu,-9.6567,120.2641,78.94,78.94,3.87,81,83
100,Esparta,15.7437,-87.1766,87.84,90.39,7.96,99,68
